resource,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock
google_data_catalog_entry_group_iam_member,1,0,0,0,1
google_data_catalog_entry_group_iam_policy,1,0,0,0,0
google_data_catalog_policy_tag,0,0,0,0,1
google_data_catalog_policy_tag_iam_binding,0,0,1,0,2
google_data_catalog_policy_tag_iam_member,1,0,0,0,1
google_data_catalog_policy_tag_iam_policy,1,0,0,0,0
google_data_catalog_tag,0,0,0,0,1
google_data_catalog_tag_template,0,0,0,2,10
google_data_catalog_tag_template_iam_binding,0,0,1,0,2
google_data_catalog_tag_template_iam_member,1,0,0,0,1
google_data_catalog_tag_template_iam_policy,1,0,0,0,0
google_data_catalog_taxonomy,0,0,0,1,1
google_data_catalog_taxonomy_iam_binding,0,0,1,0,2
google_data_catalog_taxonomy_iam_member,1,0,0,0,1
google_data_catalog_taxonomy_iam_policy,1,0,0,0,0
google_data_fusion_instance,1,0,0,3,11
google_data_fusion_instance_iam_binding,0,0,1,0,2
google_data_fusion_instance_iam_member,1,0,0,0,1
google_data_fusion_instance_iam_policy,1,0,0,0,0
google_data_loss_prevention_deidentify_template,0,0,0,0,1345
google_data_loss_prevention_discovery_config,0,0,0,0,330
google_data_loss_prevention_inspect_template,0,0,0,0,181
google_data_loss_prevention_job_trigger,0,0,0,0,371
google_data_loss_prevention_stored_info_type,0,0,0,1,24
google_data_pipeline_pipeline,0,0,0,1,61
google_database_migration_service_connection_profile,0,0,0,2,61
google_database_migration_service_migration_job,0,0,0,2,13
google_database_migration_service_private_connection,0,0,0,2,7
google_dataflow_flex_template_job,2,0,0,2,4
google_dataflow_job,3,0,0,2,3
google_dataform_repository,0,0,0,2,7
google_dataform_repository_iam_binding,0,0,1,0,2
google_dataform_repository_iam_member,1,0,0,0,1
google_dataform_repository_iam_policy,1,0,0,0,0
google_dataform_repository_release_config,0,0,0,1,6
google_dataform_repository_workflow_config,0,0,0,1,8
google_dataplex_aspect_type,1,1,0,2,3
google_dataplex_aspect_type_iam_binding,0,0,1,0,2
google_dataplex_aspect_type_iam_member,1,0,0,0,1
google_dataplex_aspect_type_iam_policy,1,0,0,0,0
google_dataplex_asset_iam_binding,0,0,1,0,2
google_dataplex_asset_iam_member,1,0,0,0,1
google_dataplex_asset_iam_policy,1,0,0,0,0
google_dataplex_datascan,0,0,0,2,110
google_dataplex_datascan_iam_binding,0,0,1,0,2
google_dataplex_datascan_iam_member,1,0,0,0,1
google_dataplex_datascan_iam_policy,1,0,0,0,0
google_dataplex_entry,3,0,0,1,8
google_dataplex_entry_group,0,0,0,2,3
google_dataplex_entry_group_iam_binding,0,0,1,0,2
google_dataplex_entry_group_iam_member,1,0,0,0,1
google_dataplex_entry_group_iam_policy,1,0,0,0,0
google_dataplex_entry_link,0,0,0,1,1
google_dataplex_entry_type,0,0,0,2,5
google_dataplex_entry_type_iam_binding,0,0,1,0,2
google_dataplex_entry_type_iam_member,1,0,0,0,1
google_dataplex_entry_type_iam_policy,1,0,0,0,0
google_dataplex_glossary,0,0,0,2,3
google_dataplex_glossary_category,0,0,0,2,3
google_dataplex_glossary_iam_binding,0,0,1,0,2
google_dataplex_glossary_iam_member,1,0,0,0,1
google_dataplex_glossary_iam_policy,1,0,0,0,0
google_dataplex_glossary_term,0,0,0,2,3
google_dataplex_lake_iam_binding,0,0,1,0,2
google_dataplex_lake_iam_member,1,0,0,0,1
google_dataplex_lake_iam_policy,1,0,0,0,0
google_dataplex_task,0,0,0,2,74
google_dataplex_task_iam_binding,0,0,1,0,2
google_dataplex_task_iam_member,1,0,0,0,1
google_dataplex_task_iam_policy,1,0,0,0,0
google_dataplex_zone_iam_binding,0,0,1,0,2
google_dataplex_zone_iam_member,1,0,0,0,1
google_dataplex_zone_iam_policy,1,0,0,0,0
google_dataproc_autoscaling_policy,0,0,0,1,5
google_dataproc_autoscaling_policy_iam_binding,0,0,1,0,2
google_dataproc_autoscaling_policy_iam_member,1,0,0,0,1
google_dataproc_autoscaling_policy_iam_policy,1,0,0,0,0
google_dataproc_batch,2,0,0,2,67
google_dataproc_cluster,25,0,3,2,222
google_dataproc_cluster_iam_binding,0,0,1,0,2
google_dataproc_cluster_iam_member,1,0,0,0,1
google_dataproc_cluster_iam_policy,1,0,0,0,0
google_dataproc_gdc_application_environment,0,0,0,3,8
google_dataproc_gdc_service_instance,0,0,0,2,5
google_dataproc_gdc_spark_application,0,0,0,3,44
google_dataproc_job,0,0,0,2,106
google_dataproc_job_iam_binding,0,0,1,0,2
google_dataproc_job_iam_member,1,0,0,0,1
google_dataproc_job_iam_policy,1,0,0,0,0
google_dataproc_metastore_database_iam_binding,0,0,1,0,2
google_dataproc_metastore_database_iam_member,1,0,0,0,1
google_dataproc_metastore_database_iam_policy,1,0,0,0,0
google_dataproc_metastore_federation,0,0,0,2,5
google_dataproc_metastore_federation_iam_binding,0,0,1,0,2
google_dataproc_metastore_federation_iam_member,1,0,0,0,1
google_dataproc_metastore_federation_iam_policy,1,0,0,0,0
