resource,score,nested_weight,non_nested_weight,tier,LikelyBreaking,provenance,product,is_iam,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock,Required,Optional,Optional+Computed,Computed-only
google_bigquery_table_iam_binding,1.10,0.00,1.10,D,true,Generated,bigquery,true,0,0,1,0,2,2,1,0,0
google_bigquery_table_iam_member,1.20,0.00,1.20,D,true,Generated,bigquery,true,1,0,0,0,1,1,1,0,0
google_bigquery_table_iam_policy,1.20,0.00,1.20,D,false,Generated,bigquery,true,1,0,0,0,0,1,0,0,0
google_bigtable_app_profile,5.25,2.00,3.25,C,true,Generated,bigtable,false,1,0,0,1,4,0,5,1,0
google_bigtable_authorized_view,4.65,0.00,4.65,A,true,Handwritten,bigtable,false,2,0,0,1,11,2,12,0,0
google_bigtable_gc_policy,5.45,0.00,5.45,C,true,Handwritten,bigtable,false,3,0,0,1,2,1,5,0,0
google_bigtable_instance,15.00,6.00,9.00,B,true,Handwritten,bigtable,false,0,0,0,4,6,0,7,1,2
google_bigtable_instance_iam_binding,1.10,0.00,1.10,D,true,HandwrittenIAM,bigtable,true,0,0,1,0,2,2,1,0,0
google_bigtable_instance_iam_member,1.20,0.00,1.20,D,true,HandwrittenIAM,bigtable,true,1,0,0,0,1,1,1,0,0
google_bigtable_instance_iam_policy,1.20,0.00,1.20,D,false,HandwrittenIAM,bigtable,true,1,0,0,0,0,1,0,0,0
google_bigtable_logical_view,3.25,0.00,3.25,C,false,Generated,bigtable,false,1,0,0,1,0,0,2,0,0
google_bigtable_materialized_view,3.25,0.00,3.25,C,false,Generated,bigtable,false,1,0,0,1,0,0,2,0,0
google_bigtable_schema_bundle,4.25,0.00,4.25,C,true,Generated,bigtable,false,2,0,0,1,1,1,3,0,0
google_bigtable_table,13.70,4.00,9.70,B,true,Handwritten,bigtable,false,4,0,1,2,4,1,8,2,0
google_bigtable_table_iam_binding,1.10,0.00,1.10,D,true,HandwrittenIAM,bigtable,true,0,0,1,0,2,2,1,0,0
google_bigtable_table_iam_member,1.20,0.00,1.20,D,true,HandwrittenIAM,bigtable,true,1,0,0,0,1,1,1,0,0
google_bigtable_table_iam_policy,1.20,0.00,1.20,D,false,HandwrittenIAM,bigtable,true,1,0,0,0,0,1,0,0,0
google_billing_account_iam_binding,1.10,0.00,1.10,D,true,HandwrittenIAM,billing,true,0,0,1,0,2,2,1,0,0
google_billing_account_iam_member,1.20,0.00,1.20,D,true,HandwrittenIAM,billing,true,1,0,0,0,1,1,1,0,0
google_billing_account_iam_policy,1.20,0.00,1.20,D,false,HandwrittenIAM,billing,true,1,0,0,0,0,1,0,0,0
google_billing_budget,16.00,10.00,6.00,A,true,Generated,billing,false,2,0,4,0,28,4,25,5,0
google_billing_project_info,2.25,0.00,2.25,C,false,Generated,corebilling,false,0,0,0,1,0,0,1,0,0
google_billing_subaccount,1.20,0.00,1.20,D,false,Handwritten,resourcemanager,false,1,0,0,0,0,1,0,0,0
google_binary_authorization_attestor,8.65,0.00,8.65,A,true,Generated,binaryauthorization,false,6,0,0,1,6,3,10,0,0
google_binary_authorization_attestor_iam_binding,1.10,0.00,1.10,D,true,Generated,binaryauthorization,true,0,0,1,0,2,2,1,0,0
google_binary_authorization_attestor_iam_member,1.20,0.00,1.20,D,true,Generated,binaryauthorization,true,1,0,0,0,1,1,1,0,0
google_binary_authorization_attestor_iam_policy,1.20,0.00,1.20,D,false,Generated,binaryauthorization,true,1,0,0,0,0,1,0,0,0
google_binary_authorization_policy,11.25,0.00,11.25,A,true,Generated,binaryauthorization,false,4,0,5,1,7,1,16,0,0
google_blockchain_node_engine_blockchain_nodes,18.50,14.00,4.50,A,true,Generated,blockchainnodeengine,false,0,0,0,2,16,0,11,0,7
google_certificate_manager_certificate,23.50,14.00,9.50,A,true,Generated,certificatemanager,false,5,0,0,2,14,0,14,0,7
google_certificate_manager_certificate_issuance_config,12.10,4.00,8.10,B,true,Generated,certificatemanager,false,3,0,0,2,6,4,5,0,2
google_certificate_manager_certificate_map,10.50,6.00,4.50,A,true,Generated,certificatemanager,false,0,0,0,2,9,0,8,0,3
google_certificate_manager_certificate_map_entry,10.90,4.00,6.90,B,true,Generated,certificatemanager,false,2,0,0,2,4,3,3,0,2
google_certificate_manager_dns_authorization,10.50,6.00,4.50,B,true,Generated,certificatemanager,false,0,0,0,2,4,0,3,0,3
google_certificate_manager_trust_config,8.50,4.00,4.50,A,true,Generated,certificatemanager,false,0,0,0,2,9,0,9,0,2
google_ces_app,24.25,4.00,20.25,A,true,Generated,ces,false,18,0,0,1,51,2,66,0,2
google_ces_toolset,2.25,0.00,2.25,A,true,Generated,ces,false,0,0,0,1,26,3,24,0,0
google_chronicle_data_access_label,2.25,0.00,2.25,C,false,Generated,chronicle,false,0,0,0,1,0,0,1,0,0
google_chronicle_data_access_scope,2.25,0.00,2.25,A,true,Generated,chronicle,false,0,0,0,1,6,0,7,0,0
google_chronicle_reference_list,7.25,2.00,5.25,A,true,Generated,chronicle,false,3,0,0,1,8,1,10,0,1
google_chronicle_retrohunt,4.25,2.00,2.25,C,true,Generated,chronicle,false,0,0,0,1,2,1,1,0,1
